id,arousal_sd,conf_sd,n_trials,has_questionnaire,flag_zero_arousal,flag_zero_conf,flag_zero_variance,excluded,exclusion_reason
4489,0.9212588934267874,1.0177904675803542,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
4552,1.6455067024148846,0.7675301714607473,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
4615,1.0012812305062462,0.7156671622894871,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
4684,0.7778998683173851,0.8929926637077695,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
4891,0.4743416490252569,0.7472170590486632,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
5245,0.4961389383568338,0.8439072740411041,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
5677,0.5943106327545623,0.9044051735526052,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
5731,0.9167249398727054,1.4313343245789742,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
5851,0.4902903378454601,0.957761813974483,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
6280,1.3913653136029502,1.131144190405087,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
6505,1.5157294934901469,1.6484258225069433,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
7009,0.31622776601683794,0.7970297423913427,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
7585,0.7905694150420949,1.2400889132721544,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
8197,0.6400120191179105,0.8397191227596316,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
9100,0.7424837043882184,1.180775494846827,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
9286,0.4961389383568338,0.8335897041541449,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
9385,0.7844645405527362,1.2297070737291411,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
9625,0,0.9306049865682222,40,TRUE,TRUE,FALSE,TRUE,FALSE,zero_variance_flagged_retained
9640,0.7762500258061847,1.1668498024760776,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
9799,0.6196566460342041,0.7493587001820033,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
9886,0.31622776601683794,1.1067971810589328,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
9940,0,0.3499084129252931,40,TRUE,TRUE,FALSE,TRUE,FALSE,zero_variance_flagged_retained
9964,1.1886212655091246,1.3202078313465337,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
