study_id,id,ses,taskCondition,Condition,Salience,Direction,DirectionLabel,Trial,level,Change,Correct,Accuracy,Response,Arousal,Confidence,trial.started,trial.stopped
5,10075,ses1,highSalienceDec,breath,High,Slower,Dec,3,0.194847947730885,0.194847947730885,left,1,left,4,4,267.298606100027,284.882182900328
5,10075,ses1,highSalienceAcc,breath,High,NoChange,Acc,3,0.194847947730885,0,up,1,up,4,2,294.397281900048,310.413115300238
5,10075,ses1,lowSalienceDec,breath,Low,Slower,Dec,3,0.83203478599708,0.83203478599708,left,1,left,4,4,317.987830500118,340.227388600353
5,10075,ses1,highSalienceDec,breath,High,NoChange,Dec,4,0.115692875109348,0,up,1,up,5,4,347.531424300279,363.546668400057
5,10075,ses1,lowSalienceDec,breath,Low,Slower,Dec,4,0.774819838484165,0.774819838484165,left,0,up,5,4,370.308612199966,392.147360700183
5,10075,ses1,lowSalienceAcc,breath,Low,NoChange,Acc,4,0.3701268140887,0,up,1,up,5,4,402.158415300306,418.174265100155
5,10075,ses1,highSalienceAcc,breath,High,Faster,Acc,4,0.115692875109348,-0.115692875109348,right,0,up,5,4,433.541830600239,448.639336100314
5,10075,ses1,lowSalienceDec,breath,Low,Slower,Dec,5,0.876436221289129,0.876436221289129,left,1,left,5,6,457.211203300394,479.749643000308
5,10075,ses1,lowSalienceAcc,breath,Low,Faster,Acc,5,0.306922397528371,-0.306922397528371,right,1,right,5,5,484.943979100324,498.423876699992
5,10075,ses1,highSalienceAcc,breath,High,Faster,Acc,5,0.254200718251075,-0.254200718251075,right,1,right,5,6,501.957156400196,515.937179100234
5,10075,ses1,highSalienceDec,breath,High,Slower,Dec,5,0.0425585301306027,0.0425585301306027,left,0,up,5,4,520.179904500023,536.529814900365
5,10075,ses1,lowSalienceDec,breath,Low,Slower,Dec,6,0.835908565728574,0.835908565728574,left,0,up,3,3,541.468696700409,563.741174300201
5,10075,ses1,highSalienceDec,breath,High,Slower,Dec,6,0.179695698126859,0.179695698126859,left,0,up,3,4,575.604393300135,593.054799500387
5,10075,ses1,highSalienceAcc,breath,High,Faster,Acc,6,0.205495959444778,-0.205495959444778,right,1,right,4,5,599.257588800043,613.63795780018
5,10075,ses1,lowSalienceAcc,breath,Low,Faster,Acc,6,0.263654540973875,-0.263654540973875,right,1,right,4,4,618.594169200398,632.440647700336
5,10075,ses1,highSalienceDec,breath,High,NoChange,Dec,7,0.298968710006647,0,up,1,up,4,5,638.06444690004,654.079560100101
5,10075,ses1,lowSalienceDec,breath,Low,Slower,Dec,7,0.926238132874377,0.926238132874377,left,0,up,4,4,661.659305500332,684.565571600106
5,10075,ses1,highSalienceAcc,breath,High,Faster,Acc,7,0.16847007996347,-0.16847007996347,right,0,up,4,4,689.087257900275,703.769018300343
5,10075,ses1,lowSalienceAcc,breath,Low,Faster,Acc,7,0.228700435432036,-0.228700435432036,right,0,up,3,3,709.209384500049,723.339155800175
5,10075,ses1,highSalienceAcc,breath,High,Faster,Acc,8,0.236876035411721,-0.236876035411721,right,1,right,3,4,727.456485100091,741.569886500016
5,10075,ses1,lowSalienceAcc,breath,Low,Faster,Acc,8,0.306853224083334,-0.306853224083334,right,0,up,4,4,746.429698700085,759.90995380003
5,10075,ses1,highSalienceDec,breath,High,Slower,Dec,8,0.254140996477974,0.254140996477974,left,0,up,4,4,765.14936020039,783.201032100245
5,10075,ses1,lowSalienceDec,breath,Low,Slower,Dec,8,1,1,left,1,left,3,6,786.650900500361,810.074081300292
5,10075,ses1,lowSalienceAcc,breath,Low,Faster,Acc,9,0.379456499259911,-0.379456499259911,right,0,up,3,3,815.385246400256,828.213931899983
5,10075,ses1,lowSalienceDec,breath,Low,Slower,Dec,9,0.988473336993827,0.988473336993827,left,1,left,4,5,834.850689200219,858.189836699981
5,10075,ses1,highSalienceAcc,breath,High,Faster,Acc,9,0.208658445157762,-0.208658445157762,right,0,up,3,5,862.550004499964,876.897299100179
5,10075,ses1,highSalienceDec,breath,High,Slower,Dec,9,0.339418903109484,0.339418903109484,left,0,up,3,3,882.154207700398,900.905458300374
5,10075,ses1,highSalienceDec,breath,High,NoChange,Dec,10,0.457787178225851,0,up,1,up,4,4,910.428904400207,926.443788500037
5,10075,ses1,lowSalienceAcc,breath,Low,Faster,Acc,10,0.492374066829756,-0.492374066829756,right,1,right,4,5,929.9193043001,941.71431150008
5,10075,ses1,lowSalienceDec,breath,Low,NoChange,Dec,10,0.959306374866424,0,up,1,up,3,4,950.937268000096,966.952294100076
5,10075,ses1,highSalienceAcc,breath,High,Faster,Acc,10,0.264639720720291,-0.264639720720291,right,0,up,3,3,971.825274300296,985.737972100265
