study_id,id,Group,Trial,Condition,Salience,Direction,TrialDirection,Level,Change,Accuracy,Confidence,Arousal,flag_zero_variance,exclusion_reason
4,10093,Breath,5,lowSalienceAcc,Low,Faster,Faster,0.419056205,-0.419056205,1,4,2,FALSE,included
4,10093,Breath,6,lowSalienceAcc,Low,Faster,Faster,0.368248418,-0.368248418,1,5,2,FALSE,included
4,10093,Breath,7,lowSalienceAcc,Low,Faster,Faster,0.333132979,-0.333132979,1,5,1,FALSE,included
4,10093,Breath,8,lowSalienceAcc,Low,Faster,Faster,0.308241643,-0.308241643,1,4,1,FALSE,included
4,10093,Breath,9,lowSalienceAcc,Low,Faster,Faster,0.286939203,-0.286939203,0,4,1,FALSE,included
4,10168,Visual,0,highSalienceAcc,High,NoChange,Faster,0.422912,0,1,4,3,FALSE,included
4,10168,Visual,1,highSalienceAcc,High,Faster,Faster,0.290866253,-0.290866253,1,5,3,FALSE,included
4,10168,Visual,2,highSalienceAcc,High,Faster,Faster,0.194847948,-0.194847948,1,4,3,FALSE,included
4,10168,Visual,3,highSalienceAcc,High,Faster,Faster,0.115692875,-0.115692875,0,3,3,FALSE,included
4,10168,Visual,4,highSalienceAcc,High,NoChange,Faster,0.254200718,0,0,4,3,FALSE,included
4,10168,Visual,5,highSalienceAcc,High,Faster,Faster,0.380480619,-0.380480619,1,3,3,FALSE,included
4,10168,Visual,6,highSalienceAcc,High,Faster,Faster,0.32876206,-0.32876206,1,6,3,FALSE,included
4,10168,Visual,7,highSalienceAcc,High,Faster,Faster,0.293248617,-0.293248617,1,5,3,FALSE,included
4,10168,Visual,8,highSalienceAcc,High,NoChange,Faster,0.266989295,0,0,5,3,FALSE,included
4,10168,Visual,9,highSalienceAcc,High,NoChange,Faster,0.318711805,0,0,4,3,FALSE,included
4,10168,Visual,0,highSalienceDec,High,Slower,Slower,0.422912,0.422912,1,5,3,FALSE,included
4,10168,Visual,1,highSalienceDec,High,Slower,Slower,0.290866253,0.290866253,1,5,3,FALSE,included
4,10168,Visual,2,highSalienceDec,High,NoChange,Slower,0.194847948,0,1,5,3,FALSE,included
4,10168,Visual,3,highSalienceDec,High,Slower,Slower,0.115692875,0.115692875,1,4,3,FALSE,included
4,10168,Visual,4,highSalienceDec,High,NoChange,Slower,0.04255853,0,1,4,3,FALSE,included
4,10168,Visual,5,highSalienceDec,High,Slower,Slower,-0.019543321,-0.019543321,1,3,5,FALSE,included
4,10168,Visual,6,highSalienceDec,High,Slower,Slower,-0.073118625,-0.073118625,0,2,4,FALSE,included
4,10168,Visual,7,highSalienceDec,High,Slower,Slower,0.045520093,0.045520093,0,4,4,FALSE,included
4,10168,Visual,8,highSalienceDec,High,Slower,Slower,0.13395027,0.13395027,1,4,3,FALSE,included
4,10168,Visual,9,highSalienceDec,High,Slower,Slower,0.10106875,0.10106875,1,3,3,FALSE,included
4,10168,Visual,0,lowSalienceAcc,Low,NoChange,Faster,0.422912,0,1,5,4,FALSE,included
4,10168,Visual,1,lowSalienceAcc,Low,Faster,Faster,0.290866253,-0.290866253,1,6,4,FALSE,included
4,10168,Visual,2,lowSalienceAcc,Low,NoChange,Faster,0.194847948,0,1,3,3,FALSE,included
4,10168,Visual,3,lowSalienceAcc,Low,NoChange,Faster,0.115692875,0,1,4,4,FALSE,included
4,10168,Visual,4,lowSalienceAcc,Low,Faster,Faster,0.04255853,-0.04255853,0,5,3,FALSE,included
4,10168,Visual,5,lowSalienceAcc,Low,NoChange,Faster,0.179695698,0,1,4,3,FALSE,included
4,10168,Visual,6,lowSalienceAcc,Low,Faster,Faster,0.138494169,-0.138494169,0,4,4,FALSE,included
4,10168,Visual,7,lowSalienceAcc,Low,Faster,Faster,0.227936271,-0.227936271,1,3,3,FALSE,included
4,10168,Visual,8,lowSalienceAcc,Low,Faster,Faster,0.195305352,-0.195305352,1,4,3,FALSE,included
