id,arousal_sd_s1,n_s1_trials,mean_acc_s1,flag_pilot,flag_test_entry,flag_zero_arousal,flag_near_chance,flag_zero_arousal_detected,excluded,exclusion_reason
10018,0.40509574683346666,40,0.7878787878787878,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
10075,0.7778998683173851,40,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
10078,0.6597396533909495,40,0.625,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
10105,1.1940021045379383,40,0.41935483870967744,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,pilot_participant
10135,0.5430209893473685,40,0.7027027027027027,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
10207,1.0907536796837267,40,0.6764705882352942,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
10348,0.4385290096535146,40,0.6896551724137931,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
10393,0.5006406152531231,40,0.6470588235294118,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
10543,0.8529736822224367,40,0.65625,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
10591,1.154422932764378,40,0.35294117647058826,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,pilot_participant
10711,0.9710554659486336,40,0.6896551724137931,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
10771,0.9336995618478525,40,0.6756756756756757,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
10831,0.563300712149108,40,0.7941176470588235,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
10834,1.1712364713391024,40,0.5625,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,pilot_participant
10873,0.6975230903263787,40,0.7352941176470589,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11176,0.6196566460342041,40,0.48484848484848486,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11224,0.5453768398418634,40,0.7333333333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11245,0.7970297423913427,40,0.7058823529411765,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11305,0.5163977794943222,40,0.7941176470588235,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11338,0.6400120191179105,40,0.6176470588235294,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11386,0.5038314736557788,40,0.6764705882352942,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11389,0.7161148740394329,40,0.7096774193548387,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11416,0.505736325340815,40,0.71875,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11452,0.8223636976922384,40,0.6129032258064516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11458,0.9922778767136676,40,0.6764705882352942,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11506,0.9026314805852883,40,0.6428571428571429,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11515,0.7905694150420949,40,0.6785714285714286,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11524,0.3616202853397895,40,0.71875,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11545,0.9114654303753,40,0.5882352941176471,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11644,0.5541220822628188,40,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11890,0.5986094998689324,40,0.6206896551724138,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,pilot_participant
11956,0.15811388300841897,40,0.7714285714285715,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11968,0.15811388300841897,40,0.6666666666666666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11980,0.8101914936669333,40,0.5714285714285714,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
11992,0,40,0.6333333333333333,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,included
12043,0.32025630761017426,40,0.45454545454545453,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
12340,0.6597396533909495,40,0.71875,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
12598,0.8533493588238806,40,0.6666666666666666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
12619,0.40509574683346666,40,0.696969696969697,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
12943,0.42290206176626033,40,0.5151515151515151,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
12949,0.42290206176626033,40,0.7586206896551724,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,pilot_participant
12952,0.5430209893473685,40,0.7333333333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
12958,0.31622776601683794,40,0.78125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
12964,0.5038314736557788,40,0.7241379310344828,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
12970,0.48304589153964794,40,0.9032258064516129,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
12982,1.585187847802434,40,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
12985,0.6621642835894567,40,0.7419354838709677,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
12994,1.3349349355123201,40,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13012,0.7578647467450734,40,0.7777777777777778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13018,0.46340434799814917,40,0.6857142857142857,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13024,1.384668802388388,40,0.7272727272727273,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13030,0.75064075193233315,40,0.7352941176470589,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13036,0.9604352645732546,40,0.71875,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
