Pnum,n_runs,runs_completed,has_questionnaire,flag_single_run,excluded,exclusion_reason
17396,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17400,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17589,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17593,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17594,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17595,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17597,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17599,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17600,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17602,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17605,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17607,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17609,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17610,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17612,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17616,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17617,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17618,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17620,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17622,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17625,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17632,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17635,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17643,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17645,1,Breath Misattribution,TRUE,TRUE,FALSE,single_run_flagged
17648,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17651,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17652,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17653,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17656,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17664,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17665,2,Breath Misattribution | Second Breath Misattribution,FALSE,FALSE,FALSE,no_questionnaire_data
16618,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17706,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17708,1,Breath Misattribution,TRUE,TRUE,FALSE,single_run_flagged
17709,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17710,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17716,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17721,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17729,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17731,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17738,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17742,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
